Column1,Column2,Column3,label
Feastfires,SEAT_OF,House Prester of Feastfires,SEAT_OF
Lonely Light,SEAT_OF,House Farwynd of the Lonely Light,SEAT_OF
Greenshield,SEAT_OF,House Chester of Greenshield,SEAT_OF
Dunstonbury (formerly),SEAT_OF,House Manderly of White Harbor,SEAT_OF
High Hermitage,SEAT_OF,House Dayne of High Hermitage,SEAT_OF
Gull Tower,SEAT_OF,House Shett of Gull Tower,SEAT_OF
Redfort,SEAT_OF,House Redfort of Redfort,SEAT_OF
Nightsong,SEAT_OF,House Foote of Nightsong,SEAT_OF
Wyl,SEAT_OF,House Wyl of the Boneway,SEAT_OF
Stripped (formerly Brightwater Keep),SEAT_OF,House Florent of Brightwater Keep,SEAT_OF
Storm's End,SEAT_OF,House Durrandon,SEAT_OF
Flint's Finger,SEAT_OF,House Flint of Flint's Finger,SEAT_OF
Harrenhal,SEAT_OF,House Qoherys of Harrenhal,SEAT_OF
Nightsong,SEAT_OF,House Caron of Nightsong,SEAT_OF
Runestone,SEAT_OF,House Royce of Runestone,SEAT_OF
Harrenhal,SEAT_OF,House Lothston of Harrenhal,SEAT_OF
Greywater Watch,SEAT_OF,House Reed of Greywater Watch,SEAT_OF
Castamere,SEAT_OF,House Spicer of Castamere,SEAT_OF
Mistwood,SEAT_OF,House Mertyns of Mistwood,SEAT_OF
Stone Hedge,SEAT_OF,House Bracken of Stone Hedge,SEAT_OF
Goldgrass,SEAT_OF,House Stout of Goldgrass,SEAT_OF
Faircastle  Fair Isle,SEAT_OF,House Farman of Faircastle,SEAT_OF
Crakehall,SEAT_OF,House Crakehall of Crakehall,SEAT_OF
Ten Towers,SEAT_OF,House Harlaw of Harlaw,SEAT_OF
Rain House,SEAT_OF,House Wylde of Rain House,SEAT_OF
Acorn Hall,SEAT_OF,House Smallwood of Acorn Hall,SEAT_OF
Pebbleton,SEAT_OF,House Merlyn of Pebbleton,SEAT_OF
Red Keep (formerly),SEAT_OF,House Targaryen of King's Landing,SEAT_OF
Vaith,SEAT_OF,House Vaith of the Red Dunes,SEAT_OF
Snakewood,SEAT_OF,House Lynderly of the Snakewood,SEAT_OF
Greenstone,SEAT_OF,House Estermont of Greenstone,SEAT_OF
Downdelving,SEAT_OF,House Goodbrother of Downdelving,SEAT_OF
Darry,SEAT_OF,House Lannister of Darry,SEAT_OF
Greenfield,SEAT_OF,House Greenfield of Greenfield,SEAT_OF
Deepwood Motte,SEAT_OF,House Glover of Deepwood Motte,SEAT_OF
Rills,SEAT_OF,House Ryder of the Rills,SEAT_OF
Crow Spike Keep,SEAT_OF,House Goodbrother of Crow Spike Keep,SEAT_OF
Seagard,SEAT_OF,House Mallister of Seagard,SEAT_OF
The Dun Fort,SEAT_OF,House Darklyn of Duskendale,SEAT_OF
Deepdown,SEAT_OF,House Crowl of Deepdown,SEAT_OF
The Twins,SEAT_OF,House Frey of the Crossing,SEAT_OF
Banefort,SEAT_OF,House Banefort of Banefort,SEAT_OF
The Grey Glen,SEAT_OF,House Tollett of the Grey Glen,SEAT_OF
exiles living at Ironrath,SEAT_OF,House Branfield,SEAT_OF
Harrenhal,SEAT_OF,House Harroway of Harrenhal,SEAT_OF
Summerhall (formerly),SEAT_OF,House Targaryen of King's Landing,SEAT_OF
The Crag,SEAT_OF,House Westerling of the Crag,SEAT_OF
Coldwater Burn,SEAT_OF,House Coldwater of Coldwater Burn,SEAT_OF
Torrhen's Square,SEAT_OF,House Tallhart of Torrhen's Square,SEAT_OF
House Flint of Flint's Finger,LED_BY,Robin Flint,LED_BY
House Graceford of Holyhall,LED_BY,Alyce Graceford,LED_BY
House Moreland,LED_BY,Robin Moreland,LED_BY
House Cox of Saltpans,LED_BY,Quincy Cox,LED_BY
House Velaryon of Driftmark,LED_BY,Monterys Velaryon,LED_BY
House Peake of Starpike,LED_BY,Titus Peake,LED_BY
House Lychester,LED_BY,Lymond Lychester,LED_BY
House Cerwyn of Cerwyn,LED_BY,Jonelle Cerwyn,LED_BY
House Baelish of Harrenhal,LED_BY,Petyr Baelish,LED_BY
House Tarly of Horn Hill,LED_BY,Randyll Tarly,LED_BY
House Thenn,LED_BY,Sigorn,LED_BY
House Locke of Oldcastle,LED_BY,Ondrew Locke,LED_BY
House Dayne of Starfall,LED_BY,Edric Dayne,LED_BY
House Cassel,LED_BY,Beth Cassel,LED_BY
House Clifton,LED_BY,Gareth Clifton,LED_BY
House Tully of Riverrun,LED_BY,Edmure Tully,LED_BY
House Jordayne of the Tor,LED_BY,Trebor Jordayne,LED_BY
